date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2017-09-24,,,5,,,,0.699398,8,,0.170894,4
2017-09-25,,,8,,,,0.520637,16,,0.0,3
2017-09-26,,,1,,,,0.178761,4,,0.178761,1
2017-09-27,,,6,,,,0.683577,12,,0.1708065,3
2017-09-28,,,36,,,,2.245973,65,,0.0,12
2017-09-29,,,2487,,,,97.645858,4747,,0.0,548
2017-09-30,,,2528,,,,146.158702,4976,,0.0,823
2017-10-01,436003334.5370864,131169266.0383895,3096,0.0,0.021678,50068700.0,291.170785,5973,18065.296266,0.17107,1661
2017-10-02,1025157737.9568694,151391424.73981616,2943,596765346.7747957,0.024607,57641300.0,316.074603,5858,24206.767145,0.17107,1792
2017-10-03,604612406.4398379,125245327.84600528,1808,667797139.7124808,0.025757,16997800.0,182.280983,3701,21063.743716885012,0.17107,1018
2017-10-04,207884312.8242444,48658685.98929385,859,540954733.0022343,0.020864,9000050.0,59.948744,1769,16076.163862246913,0.0,335
2017-10-05,411326650.2749568,105546705.41995238,1193,569117180.3709339,0.021951,5562510.0,156.805239,2454,39520.616787821484,0.17107,882
2017-10-06,312314745.4551762,88156760.73050109,889,553779286.2358811,0.021359,7780709.999999999,114.499377,1844,67195.42438607007,0.17107,648
2017-10-07,185266331.5192368,52958699.34433629,671,477418796.67035955,0.018414,7411240.0,81.891164,1371,36179.109054,0.17107,460
2017-10-08,214142599.596651,66264825.00757267,679,542632959.3476095,0.020929,7727459.999999999,90.981593,1406,54499.9077244386,0.17107,521
2017-10-09,163939625.74489385,57131563.06003611,680,527453167.68743783,0.020344,4663310.0,87.836065,1460,30458.838149801533,0.17107,492
2017-10-10,211980536.3463458,64279716.382457964,660,573307371.8734847,0.022112,2725600.0,80.536581,1376,46343.116931403405,0.17107,460
2017-10-11,147429298.94300872,61110954.7733205,557,556901110.3108349,0.02148,3606719.9999999995,70.54622,1172,42745.99476,0.17107,399
2017-10-12,191961300.2421916,66928182.473032504,672,584346541.2853878,0.022538,8680640.0,86.246889,1411,46152.572646,0.17107,492
2017-10-13,243264094.95277882,90728018.35800312,782,675685385.3149431,0.026061,15613600.0,110.361223,1642,106924.70559300434,0.17107,625
2017-10-14,379080551.6842433,101997900.9817668,930,878302735.8309566,0.033876,27853200.0,142.220331,1944,699264.9618275227,0.171246,812
2017-10-15,280089467.0372439,86825379.134317,726,852315171.2978135,0.032874,7104990.0,104.520862,1450,663027.841216909,0.171246,593
2017-10-16,229827474.89789626,85276112.84096,626,776235927.407662,0.029939,6196030.0,93.112895,1311,569556.6993289398,0.171246,540
2017-10-17,305513404.2078856,94783780.93009324,669,750680263.2922806,0.028953,7039900.0,104.33597,1343,514046.8464891705,0.171246,603
2017-10-18,464452866.20578736,210134539.47896647,502,705701001.3854108,0.027219,2336180.0,78.68741,1042,446224.39048830594,0.171246,449
2017-10-19,206818645.13736072,129830627.40956728,536,692353930.3237644,0.026704,2897720.0,82.803862,1124,414421.2841985164,0.171246,470
2017-10-20,189373019.89498153,80659810.06738813,705,699559649.2742409,0.026982,8716410.0,111.994747,1477,394919.5680824177,0.171246,627
2017-10-21,154653813.89520362,55538537.82626814,578,798714952.3342946,0.030806,5344520.0,84.506958,1204,433132.63497698994,0.17107,486
2017-10-22,128926681.2268808,51814314.8075217,517,740601428.6490678,0.028565,2930210.0,75.831882,1118,388142.2648059515,0.171246,435
2017-10-23,65490614.37493248,33508263.588677246,298,717753741.7526518,0.027684,3517050.0,42.534358,657,194512.28372870706,0.171246,238
2017-10-24,131859234.35677303,61833018.47185897,714,656958792.5307616,0.025339,7589560.0,113.657667,1556,200718.93472470067,0.171246,646
2017-10-25,119840361.52758874,46434947.67632628,445,701028866.2219639,0.027038,2561430.0,69.408139,941,329960.86839937576,0.171246,397
2017-10-26,114449869.94086571,62228720.37553673,429,710629837.595017,0.027409,2437710.0,66.791287,910,323338.5313831837,0.171246,379
2017-10-27,86978314.26574759,41077078.574936174,450,703603506.7477825,0.027138,2511440.0,70.030302,960,305074.03318069765,0.171246,399
2017-10-28,83751961.39792155,38369163.66770811,372,682895750.771708,0.026339,1739460.0,58.897018,791,289962.3759200543,0.171246,338
2017-10-29,72005519.91205129,40777657.630689934,411,669719817.797532,0.025831,4746180.0,61.400928,881,275233.9684290065,0.171246,350
2017-10-30,3379714002.5286884,122846645.35987295,576,734200214.3495084,0.028318,3781270.0,93.926058,1195,314443.0838538015,0.171246,530
2017-10-31,296413605.6950573,111187703.28874035,626,740152241.6752636,0.028547,7304450.0,100.983941,1328,296973.2195811354,0.171246,579
2017-11-01,149875308.51763362,87059049.82575323,574,755184354.5759592,0.029127,9382780.0,95.194351,1245,290230.5709812616,0.171246,538
2017-11-02,91767593.54226199,56428919.1581723,458,598368052.294565,0.023079,6165050.0,75.110304,1017,221966.1840755602,0.171246,425
2017-11-03,52618111.852349065,31546030.693672664,377,555308450.9992045,0.021418,2836080.0,59.906445,830,199089.85778740476,0.171246,340
2017-11-04,51279920.98421924,29050006.05388002,355,587017469.5368268,0.022641,2626920.0,55.404465,774,200940.40015886808,0.171246,317
2017-11-05,55581018.13431366,24963442.406185985,379,571795614.124255,0.022054,2396230.0,60.284034,813,189033.48942011068,0.171246,349
2017-11-06,62292930.56212536,35175315.00699852,472,543872158.2519081,0.020977,4591160.0,78.82348,1046,171472.13535565516,0.171246,447
2017-11-07,58612520.08004953,35370666.23592467,402,566395126.6948413,0.021846,2539540.0,63.690628,858,171486.60388612177,0.171246,362
2017-11-08,45269129.9647851,26946585.935374517,356,568113970.0027,0.021912,6367000.000000001,57.969264,790,167158.14232832103,0.171246,325
2017-11-09,85053955.8292676,37720676.183932856,588,652323059.3966243,0.02516,18716200.0,95.284479,1333,184170.4275072993,0.171246,540
2017-11-10,183850727.3683787,119113220.51869027,547,835350445.850105,0.032219,6766780.0,88.204026,1160,231880.5885194025,0.171246,494
2017-11-11,44345210.3937143,21906468.97382922,334,697207394.8921895,0.026891,5532220.0,52.508007,737,163368.46991837004,0.171246,303
2017-11-12,123441913.74176311,20151196.635472212,394,712475898.0523002,0.02748,7280250.0,61.243157,800,225369.95132770328,0.171246,340
2017-11-13,356746741.0160872,70934318.1637298,383,631677356.3865467,0.024364,4419440.0,62.372078,813,170820.91873641318,0.171246,352
2017-11-14,46429195.9630307,29414203.91099867,448,668843188.6557759,0.025797,3033290.0,71.83201,986,72838.29695869182,0.171246,403
2017-11-15,51744248.31281224,28184188.528595753,442,677101132.809983,0.026116,6858800.0,70.979033,1000,171049.28887025348,0.171246,403
2017-11-16,61825795.33749515,38432722.53163028,443,689219315.6894488,0.026583,4888130.0,71.973901,968,167099.36065608432,0.171246,415
2017-11-17,115083117.23962304,87450277.88200706,370,703724822.5187211,0.027143,3578870.0,60.749748,817,167900.2108841088,0.171246,348
2017-11-18,117682013.95475446,20712804.40983958,448,663657741.6303995,0.025597,2930550.0,72.758308,963,199100.66847925255,0.171246,418
2017-11-19,50836557.081882544,30160504.58299557,443,680416226.3053339,0.026243,4725050.0,73.319392,973,158312.0391963877,0.171246,417
2017-11-20,332733193.1531033,98453282.47736911,678,729906292.4412291,0.028152,16172400.0,112.526056,1474,165948.81791843555,0.171246,641
2017-11-21,115178829.88209563,23514635.36749943,542,767117774.8628309,0.029587,5836790.0,91.303519,1163,175129.07133540435,0.171246,524
2017-11-22,58731150.80520778,36949591.53311143,470,736308034.1755579,0.028399,4938480.0,77.04848,1014,160964.67873374184,0.171246,434
2017-11-23,63033634.67246226,29750035.17044008,485,739955896.7621337,0.02854,5132300.0,81.570962,1041,157228.67450904206,0.171246,462
2017-11-24,60885321.69511374,32735982.863545578,468,710552288.4569798,0.027406,5502350.0,77.661925,1029,147274.45843806045,0.171246,439
2017-11-25,56702989.46470246,35713599.96804479,492,734365581.8826157,0.028324,6156460.0,82.420601,1085,148102.90617341886,0.171246,465
2017-11-26,81999172.82768406,46498351.21684711,774,789142246.1438676,0.030437,30527100.0,129.839839,1757,154744.63333508777,0.171246,736
2017-11-27,248551306.6042872,53378299.04907968,1214,949423396.227146,0.036619,77777296.0,203.50762,2668,184698.10702576733,0.171246,1150
2017-11-28,361626658.44148993,148186360.10102373,2214,1312609800.337762,0.050627,240338000.0,376.086687,4719,243397.81420178834,0.171246,2136
2017-11-29,722991386.4345638,98462739.1794314,1274,3065480351.304253,0.118235,210624992.0,207.949075,2702,613397.4522894578,0.17107,1183
2017-11-30,1439135957.9086845,589039930.3830748,3217,2461256805.9291973,0.09493,124345000.0,544.873563,6444,414287.71287349216,0.171246,3126
2017-12-01,2857211194.6707816,939527807.6695092,3075,3023666820.00973,0.116622,73657600.0,526.069775,6231,476847.4779049349,0.17107,2977
2017-12-02,919464224.7669808,389086161.03975475,2269,3412858076.3524942,0.131633,56712600.0,381.75557,4386,510203.7310704434,0.17107,2176
2017-12-03,755702161.0380672,361816440.80780286,1972,3431473712.3710117,0.132351,46458900.0,334.232577,3920,496588.0391367082,0.17107,1902
2017-12-04,4337070442.850472,1108166147.9208097,2768,3410602420.993626,0.131546,76392704.0,472.122462,5293,483666.19264445023,0.17107,2699
2017-12-05,3911611136.6957994,703550474.0322518,3144,3516358941.9837556,0.135625,50381100.0,536.204627,6005,476880.64030576375,0.17107,3051
2017-12-06,2506608852.05448,427340789.21777254,3243,3286204336.4134116,0.126748,75688800.0,556.724766,6270,421986.3948706323,0.17107,3175
2017-12-07,2273088469.7165217,321731508.1289755,3080,3053327389.168387,0.117766,71024600.0,529.408236,5893,377879.5472772989,0.17107,3008
2017-12-08,1683236055.374501,569099158.8791237,2981,2751951121.3475947,0.106142,70092400.0,509.523792,5694,326147.52639637695,0.17107,2922
2017-12-09,1120676230.0559115,232211890.1936692,2307,2975001708.9023404,0.114745,63308600.0,397.817485,4509,336600.9507342224,0.17107,2270
2017-12-10,626919827.5807965,247579022.64351505,1925,3105907488.0278926,0.119794,46376600.0,331.000772,3788,336876.3210333286,0.17107,1878
2017-12-11,1570034525.435418,276955711.66964984,2903,2824158012.3903756,0.108927,39513900.0,499.253429,5634,297121.39067219506,0.17107,2858
2017-12-12,1928367014.8599234,393683436.9599782,3453,3141764626.2181697,0.121177,60056800.0,593.232415,6598,316450.99459998176,0.17107,3383
2017-12-13,2197540173.181567,385515733.6130726,3330,3467460486.7680535,0.133739,61575000.0,572.413354,6444,335681.02007994935,0.17107,3273
2017-12-14,3414740056.4602566,403026653.6380154,5011,3465593737.47231,0.133667,309307008.0,865.688482,9816,577951.0596642134,0.17107,4929
2017-12-15,6277471268.6626,712898422.881677,5428,6046426193.604177,0.233209,207311008.0,936.735232,10695,779613.9911266225,0.17107,5361
2017-12-16,4246707570.858194,806976248.233315,7126,5519225140.640098,0.212875,581052032.0,1226.080362,13835,480193.00538183,0.17107,7060
2017-12-17,13675413813.702517,743400164.7364002,7332,10027942707.508415,0.386775,628142976.0,1266.035793,15271,1541759.577464635,0.17107,7232
2017-12-18,9845477473.717731,1613934892.0267918,7110,13273078564.498436,0.511939,253463008.0,1215.359591,14287,1643509.7306902683,0.17107,6991
2017-12-19,15207973216.961128,2648804344.260119,10754,13489025134.72796,0.520268,279631008.0,1846.094336,21375,1065649.0454058438,0.17107,10644
2017-12-20,9280441500.654875,2054951057.9101899,8367,13837407181.352388,0.533705,182924000.0,1428.018715,16847,1036164.1605030994,0.17107,8254
2017-12-21,8988864244.991495,2766406781.2697067,7759,12705534990.431358,0.490049,162926000.0,1324.952454,15587,920576.0745783176,0.17107,7656
2017-12-22,5681960311.429239,1562129664.431573,6840,12418392684.401278,0.478974,150972992.0,1167.895349,13907,887417.1774397407,0.17107,6738
2017-12-23,3934633549.129026,1178186304.7403119,6153,10744696572.721779,0.41442,88865000.0,1049.697771,12414,724533.2425399096,0.17107,6065
2017-12-24,2977420201.1308646,1068962166.531201,4770,10802799137.577194,0.416661,67372304.0,812.142518,9785,688392.1345988094,0.17107,4702
2017-12-25,2304227314.4204187,913744679.1186228,4218,10171967583.784103,0.39233,122194000.0,719.860952,8669,586197.0795697698,0.17107,4156
2017-12-26,2639990337.588455,927850173.9610317,4295,10722736343.550335,0.413573,94896000.0,732.098409,8862,549672.4321208638,0.17107,4228
2017-12-27,2730782838.083493,1100406246.2429216,4916,11073633316.1223,0.427107,82067504.0,840.267464,10132,512908.0509281036,0.17107,4837
2017-12-28,2513310742.8994474,1044573401.3632835,4882,10682471602.649244,0.41202,82263800.0,832.866012,10055,449142.66112266935,0.17107,4816
2017-12-29,3268899000.845369,1296797373.6971297,5706,10641947592.054045,0.410457,266403007.99999997,975.33992,11590,410436.2970533717,0.17107,5618
2017-12-30,2930330853.672551,1085767436.9315639,5253,13697686198.417868,0.528316,645155968.0,902.028763,11357,478061.39789349824,0.17107,5167
2017-12-31,5514803463.89536,677209905.4230323,3166,16660242913.516155,0.642581,305947008.0,541.155233,6930,558116.2164583447,0.17107,3095
2018-01-01,3381306310.9803896,1087988290.4526858,2957,18637596875.02232,0.718847,150186000.0,505.895755,6335,602903.5967449383,0.17107,2899
2018-01-02,2102776258.5173037,778487920.5338092,3270,18788725769.082893,0.724676,289712000.0,559.289502,7085,584655.5117780281,0.17107,3225
2018-01-03,1802784249.4270973,906805924.9878019,3345,20208480351.63735,0.779681,657398016.0,572.844965,7654,607202.6300464686,0.17107,3268
2018-01-04,6669245902.769763,5264646328.187033,3366,28365401741.00901,1.09,593430016.0,575.218109,8003,229381.10585353003,0.17107,3255
2018-01-05,7979340484.09791,5229343934.986087,2499,30334672529.58555,1.17,508100000.0,429.038026,6204,42275.39068584,0.17107,2394
2018-01-06,6957160120.61227,749006550.6247272,3015,25777764593.680584,0.997,297615008.0,516.193856,7036,746543.377870664,0.17107,2918
2018-01-07,9212376977.57362,2078618248.6326547,4210,26406859962.950493,1.02,226067008.0,718.077671,9521,1529316.1104714002,0.17107,4093
2018-01-08,2944338563.1301713,1384129219.50924,2747,25909673473.8879,0.999329,264460992.0,468.601695,6481,740134.0330004164,0.17107,2663
2018-01-09,8112034890.378492,3319781781.698772,6445,23287305850.7968,0.898185,209492000.0,1105.937569,13383,1290722.4951679236,0.17107,6336
2018-01-10,6488053607.891881,1895641823.3273332,4444,21153170893.80519,0.815872,236472000.0,762.284692,9549,1140596.9195770803,0.17107,4345
2018-01-11,3801164708.5688043,1807330326.3975813,3544,20521846726.142376,0.791522,229000991.99999997,607.786058,7605,1078152.3282354872,0.17107,3467
2018-01-12,3368343118.18798,1907721199.9023306,3769,18039251940.828667,0.695769,365795008.0,646.064994,7712,921296.3342436489,0.17107,3704
2018-01-13,5437433115.026888,2321059697.0543447,6444,23785753781.91511,0.91741,313215008.0,1104.420143,13505,659983.0214670866,0.17107,6383
2018-01-14,4310328241.899321,1999277130.971661,5608,22866665058.81234,0.881961,160712000.0,960.472907,11782,594604.5826426279,0.17107,5554
2018-01-15,4340492437.233525,2236369469.5460215,5315,20631751578.42028,0.795761,972993024.0,911.286102,10950,511847.55749833037,0.17107,5229
2018-01-16,4844124532.524172,1774212690.362757,5613,20239215730.98832,0.780621,1632649984.0,962.698826,11752,458432.80379113485,0.17107,5528
2018-01-17,2506285924.4147787,1155434906.8988225,4487,16181681045.788105,0.624123,1713769984.0,769.401425,9658,340464.5260755139,0.17107,4418
2018-01-18,4505299017.542065,1154124060.1993499,5082,16367629995.281418,0.631295,1285490048.0,871.2281,10405,323547.9935695276,0.17107,5035
2018-01-19,2011384758.0820968,956895138.8120648,4041,16840773105.706497,0.649544,584574016.0,689.866607,8581,307005.32866808906,0.17107,3973
2018-01-20,2202778350.278636,1185679144.1519496,4805,17022781140.395563,0.656564,738798976.0000001,823.086658,10017,288772.54014585994,0.17107,4758
2018-01-21,1896443151.5181098,1222437236.1455069,3529,18314649284.072315,0.706391,847731008.0,605.182882,7601,291831.985056856,0.17107,3469
2018-01-22,4492163801.323011,2138048438.9890885,3663,15944707620.70707,0.614983,522984000.0,626.861928,7698,247084.9494624753,0.17107,3614
2018-01-23,2490284377.547981,602289752.5487988,2913,14688644761.556282,0.566537,375958016.0,505.942525,7650,396525.42513268074,0.17107,4662
2018-01-24,1844063798.0004575,855999832.5481492,2841,14606507801.643734,0.563369,689838016.0,493.5483,7863,605896.7659373909,0.171246,4774
2018-01-25,3054464694.392553,490300309.1211769,2486,16316864791.546162,0.629337,654814016.0,431.411187,6704,736413.1481168659,0.17107,4076
2018-01-26,1701803084.0100796,647023536.724148,2489,16435247795.12828,0.633903,810062016.0,434.499444,6947,676030.0365129983,0.171246,4390
2018-01-27,1340985910.4786382,883752839.6137259,2643,16164932157.652683,0.623477,331308992.0,460.902618,7484,652192.651343412,0.171246,4501
2018-01-28,1839378464.2631712,758266923.3002808,2841,16089302893.40025,0.62056,325145984.0,493.787165,7656,637024.1558236064,0.171246,4540
2018-01-29,2288714721.22851,836870260.1684391,2845,17354880987.70124,0.669373,238317999.99999997,493.978388,7485,679204.3671535958,0.171246,4386
2018-01-30,1647707242.8273392,923042564.2832041,2655,16199207744.97884,0.624799,359622016.0,461.201947,7437,624798.893115635,0.171246,4150
2018-01-31,1419169132.9450915,930506636.4068414,2597,13679070561.259214,0.527598,505904000.0,451.201418,7246,526242.6978650986,0.171246,4100
2018-02-01,1398187923.1151032,725762726.8821397,2649,13376086815.523573,0.515912,595623999.9999999,461.263202,7395,512228.5797548227,0.171246,4121
2018-02-02,1671994527.0307558,819768818.7725911,3833,10875369008.420164,0.41946,1438809984.0,668.419952,9764,411346.41095764615,0.171246,5695
2018-02-03,851286257.902416,622874782.1340098,2863,10395847838.62207,0.400965,1404499968.0,498.362836,7659,384538.22790139716,0.171246,4570
2018-02-04,3034118489.045129,246243727.2855168,1931,11248848458.654795,0.433865,814753984.0,337.506763,5478,182072.67117275225,0.171246,3184
2018-02-05,1222448970.7245302,256355494.29719156,2196,9983062948.121231,0.385044,658547968.0,384.825949,6138,138494.01756142656,0.171246,3549
2018-02-06,35679500865.011604,1114987882.3060896,3261,8587279106.1455,0.331209,1338390016.0,1074.824042,45042,313306.48495495215,0.171246,4941
2018-02-07,39216577043.418564,998619444.4767302,2570,9522157414.79367,0.367267,679744000.0,451.946121,6042,356003.61450917786,0.171246,3802
2018-02-08,1115780825.417077,476445532.79232657,1064,8930942426.069996,0.344464,346383008.0,183.243693,2429,322332.637523281,0.17107,1048
2018-02-09,23911113751.400562,1214554097.5487235,2089,9148314985.35272,0.352848,401271008.00000006,366.265692,5062,328413.0924618786,0.171246,2878
2018-02-10,58147698258.39172,794571165.3807216,2825,10025246291.618744,0.386671,951824000.0000001,500.431586,7637,357314.16939875006,0.171246,5318
2018-02-11,38016580748.61396,635390608.6344211,2204,10503159983.482618,0.405104,331944000.0,388.565029,5819,371461.21647809836,0.171246,3643
2018-02-12,31997879557.61362,1008098034.4569963,2958,9660296847.28889,0.372595,243039008.0,519.106738,7199,338186.45386091183,0.171246,4217
2018-02-13,28343738946.20687,729807028.2414439,2461,9941372218.990438,0.383436,225695007.99999997,432.801133,5946,346795.8146313039,0.171246,3586
2018-02-14,24289004367.623295,1121741861.181096,2289,9690657446.61523,0.373766,299008992.0,403.669105,5376,337339.4289685004,0.171246,3270
2018-02-15,26064092406.62544,1111098036.2002523,2276,10232662856.303013,0.394671,348342016.0,399.649227,5498,353504.6348939813,0.171246,3281
2018-02-16,24522385062.119637,863661870.4457203,2405,10633780564.647404,0.410142,192420000.0,421.525819,5516,363500.49003936886,0.171246,3293
2018-02-17,24924352391.903286,1444084044.8554811,2939,10433130965.983564,0.402403,341415008.0,517.500992,6376,349828.8890223464,0.171246,3868
2018-02-18,27890031701.712612,994571254.8490161,2193,10846719595.226065,0.418355,251314000.0,385.62001,5165,360956.3505468608,0.171246,3024
2018-02-19,28841449091.891857,1854666330.7162783,1975,10031961403.612366,0.38693,169966000.0,348.599566,4804,3289373.451216095,0.171246,2841
2018-02-20,27881199699.56109,1521388525.6182802,2174,10135980809.943642,0.390942,281249984.0,381.622781,4985,961287.3901153087,0.171246,3125
2018-02-21,23193420984.237896,1452535303.358202,2079,9738026204.641636,0.375593,242378000.0,365.519263,4608,873719.4770763306,0.171246,2891
2018-02-22,19942982985.65242,1298509391.2794588,1686,9402478057.950373,0.362651,208342000.00000003,295.943827,3987,2058876.1718643985,0.171246,2527
2018-02-23,14762612663.032175,1129023275.5089402,1924,8679294279.345184,0.334758,222508992.0,337.654695,4125,434549.71247575455,0.171246,2610
2018-02-24,13342030385.612997,909093289.8008084,1606,8910304477.253593,0.343668,133524000.0,280.832261,3738,341772.4478188405,0.171246,2221
2018-02-25,11854602228.443102,1309458057.6786168,2605,8352457627.583447,0.322152,247808000.0,457.527573,5400,274799.6856006002,0.171246,3279
2018-02-26,10248445703.244755,821134310.612846,2699,8951891498.312384,0.345272,201812992.0,475.238518,5921,291786.66892038163,0.17107,3589
2018-02-27,15390949495.458046,1207801318.20305,2295,8792699285.654236,0.339132,106757000.0,404.80439,5358,285006.08393098915,0.171246,3081
2018-02-28,45496098160.61879,1178566364.9042637,3614,8672242116.146202,0.334486,114757000.0,634.44936,7728,453621.522523027,0.171246,4482
2018-03-01,31062848576.486897,1012228605.5520403,3491,8088545977.40695,0.311973,184691008.0,612.930118,7501,259688.92221175117,0.171246,4503
2018-03-02,21625794843.040012,811568373.2051412,3677,7892822521.26807,0.304424,107240000.0,649.4141,7745,250537.43517400892,0.171246,4500
2018-03-03,15254554988.502142,677335988.0640985,2767,7595387167.988826,0.292952,115320000.0,487.013465,5896,253904.1387312614,0.171246,3629
2018-03-04,12567910274.423986,1049189929.3748165,2359,7681802094.436627,0.296285,94436000.0,414.216038,5362,241012.17361907096,0.171246,3075
2018-03-05,14585023606.204836,966065006.6714795,3124,7775450673.476544,0.299897,202675008.0,549.912427,6731,241244.42383174435,0.171246,3953
2018-03-06,12129553090.583448,951663207.9372233,2377,7673038745.015528,0.295947,110305000.0,419.843069,5229,277557.03103880695,0.171246,3159
2018-03-07,11573202871.955215,996602006.2637486,2778,7380762878.671713,0.284674,190792992.0,488.722708,6081,318252.4190145668,0.171246,3630
2018-03-08,12785556930.615103,752211894.2123159,3483,6434061824.3656845,0.24816,167808992.0,612.930393,8287,198106.8237989491,0.171246,5149
2018-03-09,10316697929.274378,688902291.7221229,3348,5737297731.0346575,0.221286,246848992.00000003,592.465133,7572,292378.3510420461,0.171246,4892
2018-03-10,6576744257.336499,643861499.8067303,2094,5839191118.26295,0.225216,129138000.00000001,369.281428,5046,177913.00116143568,0.171246,3072
2018-03-11,5321887447.243433,737331548.4754062,2049,5437451160.204257,0.209721,161362000.0,361.525327,4875,164231.4675836617,0.171246,2888
2018-03-12,6248393126.757773,1054686400.2727176,2217,5810360215.945683,0.224104,184250000.0,390.044635,5141,174416.98604749943,0.171246,3076
2018-03-13,4630655111.093291,951967666.7689694,1970,5784588707.925264,0.22311,98868704.0,349.610508,4769,172006.83065371163,0.171246,2618
2018-03-14,4423483470.682517,682080527.1093613,2330,5792885370.636343,0.22343,144156000.0,411.064989,5060,170784.93708438455,0.171246,3046
2018-03-15,4443855328.379861,849047830.202816,2910,5153134905.270961,0.198755,204232992.0,514.457786,6310,150690.91472445597,0.171246,3792
2018-03-16,2952413828.359867,660566912.8094523,2385,4842865651.969007,0.186788,97455296.0,421.808017,5313,116864.09473110149,0.171246,3101
2018-03-17,2553611869.6295137,657631119.6510985,2185,4634982400.45657,0.17877,81096600.0,385.325077,5015,133565.7373331,0.171246,2852
2018-03-18,3394150272.7353873,670719230.700699,3563,3990979895.1215143,0.153931,189688992.00000003,626.17554,8432,114007.51682561504,0.171246,4858
2018-03-19,2780874401.8147073,530478189.2401361,2932,4167750662.1613274,0.160749,321964000.0,515.207687,6341,118665.87986929888,0.171246,3977
2018-03-20,2381346379.111303,745822633.2544047,2495,5015514014.787833,0.193447,249683008.0,439.420887,5533,140557.5547198001,0.171246,3355
